sample_id,expected,predicted,match,confidence,failure_type,explanation,rigidity_index,integration_index,discernment_index,threat_prediction_index,scores
FLEX-001,Flexible,Flexible,True,Medium,,Adaptive flexibility without explicit identity revision.,-2,4,0,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 0}"
FLEX-002,Flexible,Flexible,True,Medium,,Adaptive flexibility without explicit identity revision.,-2,5,5,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 3, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 0}"
FLEX-003,Flexible,Flexible,True,Medium,,Adaptive flexibility without explicit identity revision.,-2,4,4,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 0}"
FLEX-004,Flexible,Flexible,True,High,,Boundary-setting co-occurs with accountability.,0,1,1,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 1, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
FLEX-005,Flexible,Flexible,True,Medium,,Adaptive flexibility without explicit identity revision.,-2,3,4,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 1, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 0}"
FLEX-006,Flexible,Flexible,True,Medium,,Adaptive flexibility without explicit identity revision.,0,2,0,0,"{""self_reference"": 3, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 0, ""fragmentation"": 0, ""integration"": 0}"
FLEX-007,Flexible,Flexible,True,Medium,,Adaptive flexibility without explicit identity revision.,-3,3,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 3, ""fragmentation"": 0, ""integration"": 0}"
FLEX-008,Flexible,Flexible,True,Medium,,Adaptive flexibility without explicit identity revision.,-2,5,3,0,"{""self_reference"": 1, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 2, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 1}"
INT-001,Integrated,Integrated,True,High,,The text shows updated continuity and self-model revision.,-2,5,0,0,"{""self_reference"": 2, ""identity_fixity"": 0, ""prediction"": 0, ""threat"": 0, ""feedback_integration"": 1, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 2}"
INT-002,Integrated,Integrated,True,High,,The text shows updated continuity and self-model revision.,0,4,0,1,"{""self_reference"": 2, ""identity_fixity"": 1, ""prediction"": 1, ""threat"": 0, ""feedback_integration"": 0, ""narrative_flexibility"": 2, ""fragmentation"": 0, ""integration"": 2}"
